Initial Stats:
Initial distribution of soil types: {'desert': 7001, 'steppe': 1199, 'field': 900, 'forest': 900}
Total initial grass: 100000
Tick, Total cows, Average Age, Total Grass
781, 9048, 32, 181555
782, 9056, 32, 180663
783, 9061, 32, 181391
784, 9066, 32, 182029
785, 9043, 32, 181828
786, 9039, 32, 182183
787, 9025, 33, 182753
788, 9012, 33, 182510
789, 9004, 33, 181997
790, 8957, 33, 182215
791, 8947, 33, 182394
792, 8927, 33, 182294
793, 8937, 33, 182823
794, 8938, 33, 181763
795, 8931, 33, 182157
796, 8936, 33, 181740
797, 8929, 33, 182847
798, 8925, 33, 183654
799, 8928, 33, 184027
800, 9011, 33, 173203
801, 9055, 33, 176050
802, 9106, 33, 173690
803, 9178, 33, 171438
804, 9246, 33, 171629
805, 9291, 33, 170649
806, 9348, 33, 168350
807, 9370, 33, 169126
808, 9374, 33, 168414
809, 9374, 33, 167691
810, 9414, 33, 168071
811, 9458, 33, 168008
812, 9529, 33, 167300
813, 9584, 33, 168271
814, 9633, 33, 167368
815, 9677, 32, 166656
816, 9726, 32, 167089
817, 9786, 32, 166982
818, 9843, 32, 166873
819, 9937, 32, 167108
820, 9996, 32, 167253
821, 10056, 31, 166551
822, 10118, 31, 166434
823, 10198, 31, 166831
824, 10285, 31, 166395
825, 10251, 31, 178031
826, 10195, 31, 178322
827, 10156, 31, 185623
828, 10142, 30, 181597
829, 10160, 30, 186363
830, 10174, 30, 180965
831, 10168, 30, 182779
832, 10157, 30, 179731
833, 10162, 30, 182861
834, 10174, 30, 179224
835, 10187, 30, 182969
836, 10184, 30, 179474
837, 10224, 30, 181328
838, 10283, 30, 179116
839, 10328, 30, 182260
840, 10344, 30, 179559
841, 10336, 30, 181942
842, 10392, 29, 178424
843, 10457, 29, 182076
844, 10510, 29, 179130
845, 10533, 29, 182457
846, 10586, 29, 178181
847, 10612, 29, 182374
848, 10644, 30, 179674
849, 10647, 30, 181636
850, 10548, 30, 183133
851, 10465, 30, 181165
852, 10400, 30, 180336
853, 10346, 30, 181031
854, 10247, 30, 180404
855, 10167, 30, 181118
856, 10098, 30, 180944
857, 10030, 30, 180945
858, 9977, 30, 181401
859, 9954, 30, 181879
860, 9892, 30, 180795
861, 9831, 30, 181450
862, 9813, 30, 181119
863, 9761, 30, 181980
864, 9708, 30, 181262
865, 9639, 30, 181652
866, 9567, 30, 181405
867, 9518, 30, 181201
868, 9457, 30, 181552
869, 9385, 30, 181888
870, 9282, 30, 182591
871, 9222, 30, 181895
872, 9156, 31, 181228
873, 9042, 31, 182593
874, 8945, 31, 182575
875, 8945, 31, 179212
876, 8951, 31, 181240
877, 8936, 31, 182698
878, 8958, 31, 182117
879, 8971, 31, 182497
